"StofCV";"nInNm";"fInNm";"NBase";"NInNmX";"NSaltEstr";"FBase";"FInNmX";"FSaltEstr";"Amb";"Hosp"
"00400";"clobetasol propionaat";"clobétasol propionate";"clobetasol";"_";"propionaat";"clobétasol";"_";"propionate";true;false
"00760";"fluvastatine natrium";"fluvastatine sodium";"fluvastatine";"_";"natrium";"fluvastatine";"_";"sodium";true;false
"00763";"folcodine";"pholcodine";"folcodine";"_";"_";"pholcodine";"_";"_";true;false
"00393";"clavulanaat kalium";"clavulanate potassium";"clavulanaat";"_";"kalium";"clavulanate";"_";"potassium";true;false
"00802";"gadoteridol";"gadotéridol";"gadoteridol";"_";"_";"gadotéridol";"_";"_";true;false
"00806";"galantamine hydrobromide";"galantamine bromhydrate";"galantamine";"_";"hydrobromide";"galantamine";"_";"bromhydrate";true;false
"00111";"anastrozol";"anastrozole";"anastrozol";"_";"_";"anastrozole";"_";"_";true;false
"00809";"ganciclovir natrium";"ganciclovir sodium";"ganciclovir";"_";"natrium";"ganciclovir";"_";"sodium";true;false
"00810";"ganirelix";"ganirélix";"ganirelix";"_";"_";"ganirélix";"_";"_";true;false
"00858";"hexetidine";"hexétidine";"hexetidine";"_";"_";"hexétidine";"_";"_";true;false
"00815";"gemcitabine hydrochloride";"gemcitabine chlorhydrate";"gemcitabine";"_";"hydrochloride";"gemcitabine";"_";"chlorhydrate";true;false
"00816";"gentamicine";"gentamicine";"gentamicine";"[bacterieel]";"_";"gentamicine";"[bactérien]";"_";true;false
"00069";"altizide";"altizide";"altizide";"_";"_";"altizide";"_";"_";true;false
"01425";"plasminogeen";"plasminogène";"plasminogeen";"[biologisch]";"_";"plasminogène";"[biologique]";"_";true;false
"00898";"ijzer(II) gluconaat";"fer(II) gluconate";"ijzer(II)";"_";"gluconaat";"fer(II)";"_";"gluconate";true;false
"01530";"retapamuline";"retapamuline";"retapamuline";"_";"_";"retapamuline";"_";"_";true;false
"00836";"glycopyrronium bromide";"glycopyrronium bromure";"glycopyrronium";"_";"bromide";"glycopyrronium";"_";"bromure";true;false
"00681";"FEIBA (Factor Eight Inhibitor Bypassing Activity, met de geactiveerde factoren van het protrombinecomplex)";"FEIBA (Factor Eight Inhibitor Bypassing Activity, contenant les facteurs activés du complexe prothrombinique)";"FEIBA";"Factor Eight Inhibitor Bypassing Activity, met de geactiveerde factoren van het protrombinecomplex [biologisch, humaan plasma]";"_";"FEIBA";"Factor Eight Inhibitor Bypassing Activity, contenant les facteurs activés du complexe prothrombinique [biologique, plasma humain]";"_";true;false
"00309";"cefepim dihydrochloride";"céfépime dichlorhydrate";"cefepim";"monohydraat";"dihydrochloride";"céfépime";"monohydraté";"dichlorhydrate";true;false
"02105";"naloxon hydrochloride";"naloxone chlorhydrate";"naloxon";"watervrij";"hydrochloride";"naloxone";"anhydre";"chlorhydrate";true;false
"00307";"cefazoline natrium";"céfazoline sodium";"cefazoline";"_";"natrium";"céfazoline";"_";"sodium";true;false
"00079";"amfotericine B (in liposomen)";"amphotéricine B (en liposomes)";"amfotericine B";"in liposomen";"_";"amphotéricine B";"en liposomes";"_";true;false
"00839";"gosereline acetaat";"goséréline acétate";"gosereline";"_";"acetaat";"goséréline";"_";"acétate";true;false
"00842";"granisetron hydrochloride";"granisétron chlorhydrate";"granisetron";"_";"hydrochloride";"granisétron";"_";"chlorhydrate";true;false
"01594";"saxagliptine hydrochloride";"saxagliptine chlorhydrate";"saxagliptine";"_";"hydrochloride";"saxagliptine";"_";"chlorhydrate";true;false
"00281";"canrenoaat kalium";"canrénoate potassium";"canrenoaat";"_";"kalium";"canrénoate";"_";"potassium";true;false
"00477";"daunorubicine hydrochloride";"daunorubicine chlorhydrate";"daunorubicine";"_";"hydrochloride";"daunorubicine";"_";"chlorhydrate";true;false
"00507";"dibotermine alfa";"dibotermine alfa";"dibotermine alfa";"[biologisch, biosynthetisch]";"_";"dibotermine alfa";"[biologique, biosynthétique]";"_";true;false
"00404";"clodronaat dinatrium";"clodronate disodium";"clodronaat";"_";"dinatrium";"clodronate";"_";"disodium";true;false
"00517";"difenhydramine hydrochloride";"diphenhydramine chlorhydrate";"difenhydramine";"_";"hydrochloride";"diphenhydramine";"_";"chlorhydrate";true;false
"00521";"diflucortolon valeraat";"diflucortolone valérate";"diflucortolon";"_";"valeraat";"diflucortolone";"_";"valérate";true;false
"00555";"dornase alfa";"dornase alfa";"dornase alfa";"[biologisch, biosynthetisch]";"_";"dornase alfa";"[biologique, biosynthétique]";"_";true;false
"00581";"eculizumab";"éculizumab";"eculizumab";"[biologisch, biosynthetisch]";"_";"éculizumab";"[biologique, biosynthétique]";"_";true;false
"00613";"epoëtine alfa";"époétine alfa";"epoëtine alfa";"[biologisch, biosynthetisch]";"_";"époétine alfa";"[biologique, biosynthétique]";"_";true;false
"00846";"haloperidol";"halopéridol";"haloperidol";"_";"_";"halopéridol";"_";"_";true;false
"00847";"haloperidol decanoaat";"halopéridol décanoate";"haloperidol";"_";"decanoaat";"halopéridol";"_";"décanoate";true;false
"00851";"heparine";"héparine";"heparine";"[biologisch, varken]";"_";"héparine";"[biologique, porc]";"_";true;false
"00852";"heparine natrium";"héparine sodium";"heparine";"[biologisch, varken]";"natrium";"héparine";"[biologique, porc]";"sodium";true;false
"00684";"felodipine";"félodipine";"felodipine";"_";"_";"félodipine";"_";"_";true;false
"00886";"ibandronaat natrium";"ibandronate sodium";"ibandronaat";"monohydraat";"natrium";"ibandronate";"monohydraté";"sodium";true;false
"00360";"cibenzoline succinaat";"cibenzoline succinate";"cibenzoline";"_";"succinaat";"cibenzoline";"_";"succinate";true;false
"00495";"dexamethason natriumfosfaat";"dexaméthasone phosphate sodique";"dexamethason";"_";"natriumfosfaat";"dexaméthasone";"_";"phosphate sodique";true;false
"00498";"dexketoprofen trometamol";"dexkétoprofène trométamol";"dexketoprofen";"_";"trometamol";"dexkétoprofène";"_";"trométamol";true;false
"00620";"eptacog alfa (geactiveerd)";"eptacog alfa (activé)";"eptacog alfa";"geactiveerd [biologisch, biosynthetisch]";"_";"eptacog alfa";"activé [biologique, biosynthétique]";"_";true;false
"00859";"histreline";"histréline";"histreline";"_";"_";"histréline";"_";"_";true;false
"00860";"histreline acetaat";"histréline acétate";"histreline";"_";"acetaat";"histréline";"_";"acétate";true;false
"00865";"hyaluronaat natrium";"hyaluronate sodium";"hyaluronaat";"_";"natrium";"hyaluronate";"_";"sodium";true;false
"00866";"hydrochloorthiazide";"hydrochlorothiazide";"hydrochloorthiazide";"_";"_";"hydrochlorothiazide";"_";"_";true;false
"00867";"hydrocortison";"hydrocortisone";"hydrocortison";"_";"_";"hydrocortisone";"_";"_";true;false
"00868";"hydrocortison acetaat";"hydrocortisone acétate";"hydrocortison";"_";"acetaat";"hydrocortisone";"_";"acétate";true;false
"00869";"hydrocortison butyraat";"hydrocortisone butyrate";"hydrocortison";"_";"butyraat";"hydrocortisone";"_";"butyrate";true;false
"00871";"hydromorfon";"hydromorphone";"hydromorfon";"_";"_";"hydromorphone";"_";"_";true;false
"00872";"hydromorfon hydrochloride";"hydromorphone chlorhydrate";"hydromorfon";"_";"hydrochloride";"hydromorphone";"_";"chlorhydrate";true;false
"00873";"hydrotalciet (aluminiummagnesiumhydroxidecarbonaat)";"hydrotalcite (carbonate hydroxide d'aluminium et de magnésium)";"hydrotalciet";"aluminiummagnesiumhydroxidecarbonaat [mineraal]";"_";"hydrotalcite";"carbonate hydroxide d'aluminium et de magnésium [minéral]";"_";true;false
"00874";"hydroxocobalamine";"hydroxocobalamine";"hydroxocobalamine";"_";"_";"hydroxocobalamine";"_";"_";true;false
"00875";"hydroxocobalamine acetaat";"hydroxocobalamine acétate";"hydroxocobalamine";"_";"acetaat";"hydroxocobalamine";"_";"acétate";true;false
"00878";"hydroxychloroquine sulfaat";"hydroxychloroquine sulfate";"hydroxychloroquine";"_";"sulfaat";"hydroxychloroquine";"_";"sulfate";true;false
"00879";"hydroxyethylrutosiden";"hydroxyéthylrutosides";"hydroxyethylrutosiden";"O-bèta [plantaardig]";"_";"hydroxyéthylrutosides";"O-beta [végétal]";"_";true;false
"00881";"hydroxyzine dihydrochloride";"hydroxyzine dichlorhydrate";"hydroxyzine";"_";"dihydrochloride";"hydroxyzine";"_";"dichlorhydrate";true;false
"00883";"Hypericum perforatum (droog extract)";"Hypericum perforatum (extrait sec)";"Hypericum perforatum";"droog extract [plantaardig]";"_";"Hypericum perforatum";"extrait sec [végétal]";"_";true;false
"00885";"ibandroninezuur";"acide ibandronique";"ibandroninezuur";"_";"_";"acide ibandronique";"_";"_";true;false
"00887";"ibritumomab tiuxetan";"ibritumomab tiuxétan";"ibritumomab tiuxetan";"[biologisch, biosynthetisch]";"_";"ibritumomab tiuxétan";"[biologique, biosynthétique]";"_";true;false
"00888";"ibuprofen";"ibuprofène";"ibuprofen";"_";"_";"ibuprofène";"_";"_";true;false
"00890";"ibuprofen lysine";"ibuprofène lysine";"ibuprofen";"_";"lysine";"ibuprofène";"_";"lysine";true;false
"00894";"idarubicine hydrochloride";"idarubicine chlorhydrate";"idarubicine";"_";"hydrochloride";"idarubicine";"_";"chlorhydrate";true;false
"00152";"azelaïnezuur";"acide azélaïque";"azelaïnezuur";"_";"_";"acide azélaïque";"_";"_";true;false
"00729";"fluconazol";"fluconazole";"fluconazol";"_";"_";"fluconazole";"_";"_";true;false
"00377";"ciprofloxacine hydrochloride";"ciprofloxacine chlorhydrate";"ciprofloxacine";"_";"hydrochloride";"ciprofloxacine";"_";"chlorhydrate";true;false
"00178";"benperidol";"benpéridol";"benperidol";"_";"_";"benpéridol";"_";"_";true;false
"00019";"acetylsalicylzuur";"acide acétylsalicylique";"acetylsalicylzuur";"_";"_";"acide acétylsalicylique";"_";"_";true;false
"00080";"amfotericine B (lipidencomplex)";"amphotéricine B (en complexe lipidique)";"amfotericine B";"lipidencomplex";"_";"amphotéricine B";"en complexe lipidique";"_";true;false
"00203";"bethanechol";"béthanéchol";"bethanechol";"_";"_";"béthanéchol";"_";"_";true;false
"00224";"bleomycine";"bléomycine";"bleomycine";"_";"_";"bléomycine";"_";"_";true;false
"02070";"amoxicilline";"amoxicilline";"amoxicilline";"watervrij";"_";"amoxicilline";"anhydre";"_";true;false
"02068";"amiloride hydrochloride";"amiloride chlorhydrate";"amiloride";"watervrij";"hydrochloride";"amiloride";"anhydre";"chlorhydrate";true;false
"00910";"imipenem";"imipénem";"imipenem";"monohydraat";"_";"imipénem";"monohydraté";"_";true;false
"02089";"foscarnet trinatrium";"foscarnet trisodium";"foscarnet";"watervrij";"trinatrium";"foscarnet";"anhydre";"trisodium";true;false
"01534";"retinol palmitaat";"rétinol palmitate";"retinol";"_";"palmitaat";"rétinol";"_";"palmitate";true;false
"02015";"articaïne hydrochloride";"articaïne chlorhydrate";"articaïne";"_";"hydrochloride";"articaïne";"_";"chlorhydrate";true;false
"00024";"acitretine";"acitrétine";"acitretine";"_";"_";"acitrétine";"_";"_";true;false
"00134";"atenolol";"aténolol";"atenolol";"_";"_";"aténolol";"_";"_";true;false
"00185";"benzoëzuur";"acide benzoïque";"benzoëzuur";"_";"_";"acide benzoïque";"_";"_";true;false
"00215";"biperideen";"bipéridène";"biperideen";"_";"_";"bipéridène";"_";"_";true;false
"01533";"retinol acetaat";"rétinol acétate";"retinol";"_";"acetaat";"rétinol";"_";"acétate";true;false
"02018";"benzocaïne";"benzocaïne";"benzocaïne";"_";"_";"benzocaïne";"_";"_";true;false
"00305";"cefalexine";"céfalexine";"cefalexine";"_";"_";"céfalexine";"_";"_";true;false
"02076";"cefadroxil";"céfadroxil";"cefadroxil";"watervrij";"_";"céfadroxil";"anhydre";"_";true;false
"02080";"codeïne fosfaat";"codéine phosphate";"codeïne";"watervrij";"fosfaat";"codéine";"anhydre";"phosphate";true;false
"00326";"cetirizine";"cétirizine";"cetirizine";"_";"_";"cétirizine";"_";"_";true;false
"00340";"chloorhexidine";"chlorhexidine";"chloorhexidine";"_";"_";"chlorhexidine";"_";"_";true;false
"00929";"insuline";"insuline";"insuline";"[biologisch, biosynthetisch]";"_";"insuline";"[biologique, biosynthétique]";"_";true;false
"00930";"insuline aspart";"insuline aspart";"insuline aspart";"[biologisch, biosynthetisch]";"_";"insuline aspart";"[biologique, biosynthétique]";"_";true;false
"00900";"ijzer(III) carboxymaltose";"fer(III) carboxymaltose";"ijzer(III)";"_";"carboxymaltose";"fer(III)";"_";"carboxymaltose";true;false
"00908";"imatinib mesilaat";"imatinib mésilate";"imatinib";"_";"mesilaat";"imatinib";"_";"mésilate";true;false
"00909";"imiglucerase";"imiglucérase";"imiglucerase";"[biologisch, biosynthetisch]";"_";"imiglucérase";"[biologique, biosynthétique]";"_";true;false
"00227";"bofvirus (levend verzwakt)";"virus des oreillons (vivants atténués)";"bofvirus";"levend verzwakt [biologisch, viraal]";"_";"virus des oreillons";"vivants atténués [biologique, viral]";"_";true;false
"00284";"Capsicum (extract, capsaïcine)";"Capsicum (extrait, capsaïcine)";"Capsicum";"extract, capsaïcine vrucht [plantaardig]";"_";"Capsicum";"extrait, capsaïcine fruit [végétal]";"_";true;false
"00933";"insuline glargine";"insuline glargine";"insuline glargine";"[biologisch, biosynthetisch]";"_";"insuline glargine";"[biologique, biosynthétique]";"_";true;false
"00935";"insuline lispro";"insuline lispro";"insuline lispro";"[biologisch, biosynthetisch]";"_";"insuline lispro";"[biologique, biosynthétique]";"_";true;false
"00937";"insuline-isofaan";"insuline isophane";"insuline-isofaan";"[biologisch, biosynthetisch]";"_";"insuline isophane";"[biologique, biosynthétique]";"_";true;false
"00938";"interferon alfa-2a";"interféron alfa-2a";"interferon alfa-2a";"[biologisch, biosynthetisch]";"_";"interféron alfa-2a";"[biologique, biosynthétique]";"_";true;false
"01097";"mecasermine";"mécasermine";"mecasermine";"[biologisch, biosynthetisch]";"_";"mécasermine";"[biologique, biosynthétique]";"_";true;false
"00946";"ipratropium bromide";"ipratropium bromure";"ipratropium";"monohydraat";"bromide";"ipratropium";"monohydraté";"bromure";true;false
"02101";"magnesium sulfaat";"magnésium sulfate";"magnesium";"watervrij";"sulfaat";"magnésium";"anhydre";"sulfate";true;false
"02085";"estradiol";"estradiol";"estradiol";"watervrij";"_";"estradiol";"anhydre";"_";true;false
"02086";"estramustine fosfaat";"estramustine phosphate";"estramustine";"watervrij";"fosfaat";"estramustine";"anhydre";"phosphate";true;false
"02087";"flucloxacilline magnesium";"flucloxacilline magnésium";"flucloxacilline";"watervrij";"magnesium";"flucloxacilline";"anhydre";"magnésium";true;false
"00330";"cetrorelix";"cétrorélix";"cetrorelix";"_";"_";"cétrorélix";"_";"_";true;false
"00366";"cilastatine";"cilastatine";"cilastatine";"_";"_";"cilastatine";"_";"_";true;false
"00631";"erythromycine ethylsuccinaat";"érythromycine éthylsuccinate";"erythromycine";"_";"ethylsuccinaat";"érythromycine";"_";"éthylsuccinate";true;false
"00931";"insuline aspart protamine";"insuline aspart protamine";"insuline aspart";"[biologisch, biosynthetisch]";"protamine";"insuline aspart";"[biologique, biosynthétique]";"protamine";true;false
"00936";"insuline lispro protamine";"insuline lispro protamine";"insuline lispro";"[biologisch, biosynthetisch]";"protamine";"insuline lispro";"[biologique, biosynthétique]";"protamine";true;false
"00244";"bromperidol decanoaat";"brompéridol décanoate";"bromperidol";"_";"decanoaat";"brompéridol";"_";"décanoate";true;false
"00897";"ijzer(II) fumaraat";"fer(II) fumarate";"ijzer(II)";"_";"fumaraat";"fer(II)";"_";"fumarate";true;false
"00940";"interferon bèta-1a";"interféron bêta-1a";"interferon bèta-1a";"[biologisch, biosynthetisch]";"_";"interféron bêta-1a";"[biologique, biosynthétique]";"_";true;false
"00941";"interferon bèta-1b";"interféron bêta-1b";"interferon bèta-1b";"[biologisch, biosynthetisch]";"_";"interféron bêta-1b";"[biologique, biosynthétique]";"_";true;false
"00942";"interferon gamma-1b";"interféron gamma-1b";"interferon gamma-1b";"[biologisch, biosynthetisch]";"_";"interféron gamma-1b";"[biologique, biosynthétique]";"_";true;false
"00682";"felbamaat";"felbamate";"felbamaat";"_";"_";"felbamate";"_";"_";true;false
"00901";"ijzer(III) dextraan";"fer(III) dextran";"ijzer(III)";"_";"dextraan";"fer(III)";"_";"dextran";true;false
"02120";"zink acetaat";"zinc acétate";"zink";"watervrij";"acetaat";"zinc";"anhydre";"acétate";true;false
"02114";"suxamethonium chloride";"suxaméthonium chlorure";"suxamethonium";"watervrij";"chloride";"suxaméthonium";"anhydre";"chlorure";true;false
"02117";"tilidine hydrochloride";"tilidine chlorhydrate";"tilidine";"watervrij";"hydrochloride";"tilidine";"anhydre";"chlorhydrate";true;false
"02103";"mometason furoaat";"mométasone furoate";"mometason";"watervrij";"furoaat";"mométasone";"anhydre";"furoate";true;false
"02111";"ropivacaïne hydrochloride";"ropivacaïne chlorhydrate";"ropivacaïne";"watervrij";"hydrochloride";"ropivacaïne";"anhydre";"chlorhydrate";true;false
"00948";"irinotecan";"irinotécan";"irinotecan";"_";"_";"irinotécan";"_";"_";true;false
"00951";"isoconazol nitraat";"isoconazole nitrate";"isoconazol";"_";"nitraat";"isoconazole";"_";"nitrate";true;false
"00952";"isoniazide";"isoniazide";"isoniazide";"_";"_";"isoniazide";"_";"_";true;false
"00954";"isoprenaline hydrochloride";"isoprénaline chlorhydrate";"isoprenaline";"_";"hydrochloride";"isoprénaline";"_";"chlorhydrate";true;false
"00955";"isopropanol";"isopropanol";"isopropanol";"_";"_";"isopropanol";"_";"_";true;false
"00322";"cerium nitraat";"cérium nitrate";"cerium";"_";"nitraat";"cérium";"_";"nitrate";true;false
"00540";"disopyramide fosfaat";"disopyramide phosphate";"disopyramide";"_";"fosfaat";"disopyramide";"_";"phosphate";true;false
"00543";"dobutamine hydrochloride";"dobutamine chlorhydrate";"dobutamine";"_";"hydrochloride";"dobutamine";"_";"chlorhydrate";true;false
"01862";"zolpidem hemitartraat";"zolpidem hémitartrate";"zolpidem";"_";"hemitartraat";"zolpidem";"_";"hémitartrate";true;false
"02088";"formoterol fumaraat";"formotérol fumarate";"formoterol";"watervrij";"fumaraat";"formotérol";"anhydre";"fumarate";true;false
"02071";"atorvastatine calcium";"atorvastatine calcium";"atorvastatine";"watervrij";"calcium";"atorvastatine";"anhydre";"calcium";true;false
"00949";"irinotecan hydrochloride";"irinotécan chlorhydrate";"irinotecan";"trihydraat";"hydrochloride";"irinotécan";"trihydraté";"chlorhydrate";true;false
"02125";"glucose";"glucose";"glucose";"watervrij";"_";"glucose";"anhydre";"_";true;false
"00958";"isotretinoïne";"isotrétinoïne";"isotretinoïne";"_";"_";"isotrétinoïne";"_";"_";true;false
"00960";"itraconazol";"itraconazole";"itraconazol";"_";"_";"itraconazole";"_";"_";true;false
"00962";"ivabradine hydrochloride";"ivabradine chlorhydrate";"ivabradine";"_";"hydrochloride";"ivabradine";"_";"chlorhydrate";true;false
"00965";"jodixanol";"iodixanol";"jodixanol";"_";"_";"iodixanol";"_";"_";true;false
"00966";"johexol";"iohexol";"johexol";"_";"_";"iohexol";"_";"_";true;false
"00967";"jomeprol";"ioméprol";"jomeprol";"_";"_";"ioméprol";"_";"_";true;false
"00969";"jodium (gejodeerde olie)";"iode (huile iodée)";"jodium";"gejodeerde olie";"_";"iode";"huile iodée";"_";true;false
"00970";"jopromide";"iopromide";"jopromide";"_";"_";"iopromide";"_";"_";true;false
"00974";"joxaglaat natrium";"ioxaglate sodium";"joxaglaat";"_";"natrium";"ioxaglate";"_";"sodium";true;false
"00979";"waterstofcarbonaat kalium";"hydrogénocarbonate potassium";"waterstofcarbonaat";"_";"kalium";"hydrogénocarbonate";"_";"potassium";true;false
"00984";"ketamine hydrochloride";"kétamine chlorhydrate";"ketamine";"_";"hydrochloride";"kétamine";"_";"chlorhydrate";true;false
"00988";"ketorolac trometamol";"kétorolac trométamol";"ketorolac";"_";"trometamol";"kétorolac";"_";"trométamol";true;false
"00963";"Japanse encefalitisvirus (geïnactiveerd)";"virus de l'encéphalite japonaise (inactivés)";"Japanse encefalitisvirus";"geïnactiveerd [biologisch, viraal]";"_";"virus de l'encéphalite japonaise";"inactivés [biologique, viral]";"_";true;false
"00989";"ketotifen";"kétotifène";"ketotifen";"_";"_";"kétotifène";"_";"_";true;false
"00772";"formoterol fumaraat";"formotérol fumarate";"formoterol";"dihydraat";"fumaraat";"formotérol";"dihydraté";"fumarate";true;false
"00993";"L-fenylalanine";"L-phénylalanine";"L-fenylalanine";"_";"_";"L-phénylalanine";"_";"_";true;false
"00042";"alendroninezuur";"acide alendronique";"alendroninezuur";"_";"_";"acide alendronique";"_";"_";true;false
"00601";"entacapon";"entacapone";"entacapon";"_";"_";"entacapone";"_";"_";true;false
"02097";"lercanidipine hydrochloride";"lercanidipine chlorhydrate";"lercanidipine";"watervrij";"hydrochloride";"lercanidipine";"anhydre";"chlorhydrate";true;false
"00947";"irbesartan";"irbésartan";"irbesartan";"_";"_";"irbésartan";"_";"_";true;false
"00619";"eprosartan mesilaat";"éprosartan mésilate";"eprosartan";"_";"mesilaat";"éprosartan";"_";"mésilate";true;false
"00596";"enalapril maleaat";"énalapril maléate";"enalapril";"_";"maleaat";"énalapril";"_";"maléate";true;false
"00599";"enoxaparine natrium";"énoxaparine sodium";"enoxaparine";"[biologisch, darmslijmvlies varken]";"natrium";"énoxaparine";"[biologique, muqueuse intestinale de porc]";"sodium";true;false
"00996";"L-lysine hydrochloride";"L-lysine chlorhydrate";"L-lysine";"_";"hydrochloride";"L-lysine";"_";"chlorhydrate";true;false
"00668";"exemestan";"exémestane";"exemestan";"_";"_";"exémestane";"_";"_";true;false
"00742";"fluocortolon caproaat";"fluocortolone caproate";"fluocortolon";"_";"caproaat";"fluocortolone";"_";"caproate";true;false
"00743";"fluocortolon pivalaat";"fluocortolone pivalate";"fluocortolon";"_";"pivalaat";"fluocortolone";"_";"pivalate";true;false
"00745";"fluoresceïne natrium";"fluorescéine sodium";"fluoresceïne";"_";"natrium";"fluorescéine";"_";"sodium";true;false
"00762";"fluvoxamine maleaat";"fluvoxamine maléate";"fluvoxamine";"_";"maleaat";"fluvoxamine";"_";"maléate";true;false
"00998";"labetalol";"labétalol";"labetalol";"_";"_";"labétalol";"_";"_";true;false
"00999";"labetalol hydrochloride";"labétalol chlorhydrate";"labetalol";"_";"hydrochloride";"labétalol";"_";"chlorhydrate";true;false
"00638";"esomeprazol magnesium";"ésoméprazole magnésium";"esomeprazol";"dihydraat";"magnesium";"ésoméprazole";"dihydraté";"magnésium";true;false
"00523";"digoxine";"digoxine";"digoxine";"_";"_";"digoxine";"_";"_";true;false
"00530";"dimenhydrinaat";"diménhydrinate";"dimenhydrinaat";"_";"_";"diménhydrinate";"_";"_";true;false
"01903";"perampanel";"pérampanel";"perampanel";"_";"_";"pérampanel";"_";"_";true;false
"00593";"emedastine difumaraat";"émédastine difumarate";"emedastine";"_";"difumaraat";"émédastine";"_";"difumarate";true;false
"00611";"epirubicine hydrochloride";"épirubicine chlorhydrate";"epirubicine";"_";"hydrochloride";"épirubicine";"_";"chlorhydrate";true;false
"00831";"glycerol";"glycérol";"glycerol";"_";"_";"glycérol";"_";"_";true;false
"00843";"guaiacol";"gaïacol";"guaiacol";"_";"_";"gaïacol";"_";"_";true;false
"00844";"guaifenesine";"guaïfénésine";"guaifenesine";"_";"_";"guaïfénésine";"_";"_";true;false
"01007";"lanoline";"lanoline";"lanoline";"[schaap]";"_";"lanoline";"[mouton]";"_";true;false
"01009";"lanreotide";"lanréotide";"lanreotide";"_";"_";"lanréotide";"_";"_";true;false
"01011";"lansoprazol";"lansoprazole";"lansoprazol";"_";"_";"lansoprazole";"_";"_";true;false
"00319";"celecoxib";"célécoxib";"celecoxib";"_";"_";"célécoxib";"_";"_";true;false
"02084";"esomeprazol magnesium";"ésoméprazole magnésium";"esomeprazol";"watervrij";"magnesium";"ésoméprazole";"anhydre";"magnésium";true;false
"00703";"fentanyl citraat";"fentanyl citrate";"fentanyl";"_";"citraat";"fentanyl";"_";"citrate";true;false
"01902";"nebivolol";"nébivolol";"nebivolol";"_";"_";"nébivolol";"_";"_";true;false
"01019";"leflunomide";"léflunomide";"leflunomide";"_";"_";"léflunomide";"_";"_";true;false
"01020";"lenalidomide";"lénalidomide";"lenalidomide";"_";"_";"lénalidomide";"_";"_";true;false
"01021";"lenograstim";"lénograstime";"lenograstim";"rHuG-CSF [biologisch, biosynthetisch]";"_";"lénograstime";"rHuG-CSF [biologique, biosynthétique]";"_";true;false
"01039";"levofloxacine";"lévofloxacine";"levofloxacine";"hemihydraat";"_";"lévofloxacine";"hémihydraté";"_";true;false
"01061";"lodoxamide trometamol";"lodoxamide trométamol";"lodoxamide";"_";"trometamol";"lodoxamide";"_";"trométamol";true;false
"00375";"ciprofibraat";"ciprofibrate";"ciprofibraat";"_";"_";"ciprofibrate";"_";"_";true;false
"00376";"ciprofloxacine";"ciprofloxacine";"ciprofloxacine";"_";"_";"ciprofloxacine";"_";"_";true;false
"01024";"letrozol";"létrozole";"letrozol";"_";"_";"létrozole";"_";"_";true;false
"01025";"leuproreline";"leuproréline";"leuproreline";"_";"_";"leuproréline";"_";"_";true;false
"01026";"leuproreline acetaat";"leuproréline acétate";"leuproreline";"_";"acetaat";"leuproréline";"_";"acétate";true;false
"01027";"levertraan";"huile de foie de morue";"levertraan";"[biologisch, vis]";"_";"huile de foie de morue";"[biologique, poisson]";"_";true;false
"01028";"levetiracetam";"lévétiracétam";"levetiracetam";"_";"_";"lévétiracétam";"_";"_";true;false
"01029";"levobunolol";"lévobunolol";"levobunolol";"_";"_";"lévobunolol";"_";"_";true;false
"01031";"levobupivacaïne";"lévobupivacaïne";"levobupivacaïne";"_";"_";"lévobupivacaïne";"_";"_";true;false
"01032";"levobupivacaïne hydrochloride";"lévobupivacaïne chlorhydrate";"levobupivacaïne";"_";"hydrochloride";"lévobupivacaïne";"_";"chlorhydrate";true;false
"01033";"levocabastine";"lévocabastine";"levocabastine";"_";"_";"lévocabastine";"_";"_";true;false
"01034";"levocabastine hydrochloride";"lévocabastine chlorhydrate";"levocabastine";"_";"hydrochloride";"lévocabastine";"_";"chlorhydrate";true;false
"01035";"levocetirizine";"lévocétirizine";"levocetirizine";"_";"_";"lévocétirizine";"_";"_";true;false
"01036";"levocetirizine dihydrochloride";"lévocétirizine dichlorhydrate";"levocetirizine";"_";"dihydrochloride";"lévocétirizine";"_";"dichlorhydrate";true;false
"01037";"levodopa";"lévodopa";"levodopa";"_";"_";"lévodopa";"_";"_";true;false
"01040";"levofolinezuur";"acide lévofolinique";"levofolinezuur";"_";"_";"acide lévofolinique";"_";"_";true;false
"01041";"levofolinaat calcium";"lévofolinate calcium";"levofolinaat";"_";"calcium";"lévofolinate";"_";"calcium";true;false
"01042";"levofolinaat dinatrium";"lévofolinate disodium";"levofolinaat";"_";"dinatrium";"lévofolinate";"_";"disodium";true;false
"01043";"levomenthol";"lévomenthol";"levomenthol";"_";"_";"lévomenthol";"_";"_";true;false
"01044";"levomepromazine";"lévomépromazine";"levomepromazine";"_";"_";"lévomépromazine";"_";"_";true;false
"01863";"zopiclon";"zopiclone";"zopiclon";"_";"_";"zopiclone";"_";"_";true;false
"00783";"fotemustine";"fotémustine";"fotemustine";"_";"_";"fotémustine";"_";"_";true;false
"01372";"paroxetine mesilaat";"paroxétine mésilate";"paroxetine";"_";"mesilaat";"paroxétine";"_";"mésilate";true;false
"00125";"artemether";"artéméther";"artemether";"_";"_";"artéméther";"_";"_";true;false
"00470";"darbepoëtine alfa";"darbépoétine alfa";"darbepoëtine alfa";"[biologisch, biosynthetisch]";"_";"darbépoétine alfa";"[biologique, biosynthétique]";"_";true;false
"01138";"mesalazine";"mésalazine";"mesalazine";"_";"_";"mésalazine";"_";"_";true;false
