"HyrCV";"HYR";"MPGRP";"TI";"INTRO";"POS"
"0017459";"BACA";true;"Alteplase";"_";"_"
"0017475";"BACB";true;"Tenecteplase";"_";"_"
"0017483";"BACC";true;"Urokinase";"_";"_"
"0025429";"BAD";false;"Andere antitrombotica";"Defibrotide is een mengsel van oligonucleotiden verkregen uit intestinale mucosa van varkens. **_Indicaties (synthese van de SKP)_** - Ernstige hepatische veno-occlusieve ziekte bij hematopoëtische stamceltransplantatie. **_Contra-indicaties_** - Gelijktijdig gebruik van trombolytica. **_Ongewenste effecten_** - Bloeding. - Hypotensie. - Braken. **_Interacties_** - [Zie 2.1. Antitrombotica](http://www.bcfi.be/nl/contents/1834)";"_"
"0025437";"BADA";true;"Specialiteiten [Andere antitrombotica]";"_";"_"
"0002220";"BB";false;"Antihemorragica";"In dit hoofdstuk worden achtereenvolgens besproken: - stollingsfactoren - antifibrinolytica - etamsylaat - lokale preparaten. Andere producten die gebruikt worden in het kader van bloedingen zijn de volgende. - Protamine: antidotum van de heparines ([zie 2.1.2.2.1. Heparines](http://www.bcfi.be/nl/contents/25916) _en_ [ 20.1.1.2. Protamine als antidotum van heparine](http://www.bcfi.be/nl/contents/19224)). - Vitamine K: antidotum van de vitamine K-antagonisten ([zie 2.1.2.1.1. Vitamine K-antagonisten](http://www.bcfi.be/nl/contents/2147) _en_ [14.2.3. Riboflavine (vitamine B2)](http://www.bcfi.be/nl/contents/16881)). - Idarucizumab: monoklonaal antilichaam gebruikt als antidotum bij overdosering met dabigatran ([zie 20.1.1.4. Idarucizumab als antidotum van dabigatran](http://www.bcfi.be/nl/contents/25270) _en_ [Folia mei 2016](http://www.bcfi.be/nl/articles/query?number=F43N05F)). - Desmopressine ([zie 5.5.2. Vasopressine-analogen](http://www.bcfi.be/nl/contents/5041)), een analoog van het antidiuretisch hormoon: antihemorragicum bij plaatjesdisfunctie, bij lichte vormen van hemofilie A (de klassieke hemofilie) en bij de ziekte van von Willebrand, dikwijls samen met een antifibrinolyticum. Daarenboven wordt het gebruikt als hemostaticum bij cirrotische en uremische patiënten en na cardiopulmonale chirurgie. - Somatostatine ([zie 5.5.5. Somatostatine en analogen](http://www.bcfi.be/nl/contents/5108)): behandeling van gastro-intestinale bloedingen secundair aan ulcus of erosieve gastritis.";"_"
"0002238";"BBA";false;"Stollingsfactoren";"Stollingsfactoren zijn geïndiceerd bij bloedingen t.g.v. een gebrek aan deze factoren. Ze worden bereid uit humaan plasma (plasmaderivaten) of geproduceerd door middel van recombinanttechnologie. Bij de bereiding van plasmaderivaten wordt gebruik gemaakt van methoden om virussen te inactiveren, zoals bv. solvent-detergens (S.D.), warmtebehandeling of nanofiltratie. De biosynthetische stollingsfactoren VII, VIII en IX worden respectievelijk eptacog alfa, octocog alfa en nonacog alfa genoemd. Efmoroctocog alfa, lonoctocog alfa, moroctocog alfa, simoctocog alfa en turoctocog alfa zijn biosynthetische analogen van factor VIII. Albutrepenonacog alfa en eftrenonacog alfa zijn biosynthetische analogen van factor IX. **_Indicaties (synthese van de SKP)_** - Bloedingen ten gevolge van gebrek aan stollingsfactoren. **_Contra-indicaties_** - Factor IX: diffuse intravasale stolling (DIS). - Protrombinecomplexconcentraat: angor, antecedenten van heparine-geïnduceerde trombocytopenie. - Geactiveerde stollingsfactoren: diffuse intravasale stolling (DIS); ernstige leveraandoeningen; myocardinfarct, acute trombose en/of embolie. **_Ongewenste effecten_** - Risico van overdracht van infecties met de bloedderivaten.";"_"
"0002246";"BBAA";true;"Factor VIII of antihemofiliefactor A";"_";"_"
"0002295";"BBAB";true;"Factor von Willebrand";"_";"_"
"0013474";"BBAC";true;"Factor VIII + factor von Willebrand";"_";"_"
"0002253";"BBAD";true;"Factor IX of antihemofiliefactor B";"_";"_"
"0021154";"BBAE";true;"Factor XIII";"_";"_"
"0002261";"BBAF";true;"Protrombinecomplexconcentraat";"_";"_"
"0002279";"BBAG";true;"Geactiveerde stollingsfactoren";"_";"_"
"0019588";"BBAH";true;"Fibrinogeen";"_";"_"
"0002345";"BBB";false;"Antifibrinolytica";"**_Plaatsbepaling_** - Chronisch gebruik van antifibrinolytica is niet aangewezen ter preventie van bloedingen, zeker niet bij patiënten met verhoogd risico van trombose. **_Indicaties (synthese van de SKP)_** - Menorragieën (bv. ten gevolge van een intra-uterien koperspiraal). - Bepaalde types chirurgie (prostatectomie, tonsillectomie, tandextractie). **_Contra-indicaties_** - Arteriële of veneuze trombo-embolie, of antecedenten ervan. - Antecedenten van convulsies. **_Ongewenste effecten_** - Gastro-intestinale stoornissen. - Trombusvorming ter hoogte van ureter of blaas bij bloedingen ter hoogte van de urinewegen. **_Bijzondere voorzorgen_** - Dosis verminderen bij nierinsufficiëntie. **_Interacties_** - Verhoogd risico van trombose bij associatie met geneesmiddelen die het trombo-embolisch risico verhogen (bv. oestrogenen).";"_"
"0002352";"BBBA";true;"Tranexaminezuur";"_";"_"
"0002360";"BBC";false;"Etamsylaat";"**_Plaatsbepaling_** - Etamsylaat, een aspecifiek hemostaticum, wordt zonder veel argumenten gebruikt bij bloedingen waarvoor geen precieze oorzaak kan worden vastgesteld. Bij het bestaan van een bloeding moet eerst elke mogelijke oorzaak worden opgespoord. **_Ongewenste effecten_** - Hoofdpijn, rash, hyperthermie. - Orale toediening: ook gastro-intestinale last. - Intraveneuze toediening: ook hypotensie.";"_"
"0002378";"BBCA";true;"Specialiteiten [Etamsylaat]";"_";"_"
"0002386";"BBD";false;"Lokale preparaten";"**_Plaatsbepaling_** - Deze preparaten worden voorgesteld ter bevordering van de hemostase en de wondheling, bv. bij chirurgische ingrepen. Bewijs van werkzaamheid op klinische eindpunten ontbreekt. **_Ongewenste effecten_** - Risico van overdracht van infecties met de bloedderivaten.";"_"
"0002394";"BBDA";true;"Specialiteiten [Lokale preparaten]";"_";"_"
"0002402";"BC";false;"Middelen i.v.m. de bloedvorming";"In dit hoofdstuk worden achtereenvolgens besproken: - middelen bij anemie - middelen bij trombocytopenie - middelen bij neutropenie en stamcelmobilisatie.";"_"
"0006593";"HCAG";true;"Morfine parenteraal";"_";"_i.m. of s.c.:_ 5 à 10 mg of meer, tot 6 x p.d."
"0006676";"HCAH";true;"Oxycodon";"_";"_per os:_ 10 mg p.d. in 2 doses (voor orodisp. tabl. 5 mg, tot 6 x p.d.), indien nodig de dosis progressief verhogen"
"0002436";"BCAA";true;"Erythropoëtines";"Erytropoëtine stimuleert de aanmaak van rode bloedcellen. **_Plaatsbepaling_** - Epoëtine (biosynthetisch erythropoëtine) is identiek aan het humane erythropoëtine. - Darbepoëtine en methoxypolyethyleenglycolepoëtine bèta zijn analogen van erythropoëtine die minder frequent moeten worden toegediend dan erythropoëtine. - Bij anemie gepaard met kanker verbetert de toediening van eryhropoëtines de overleving niet. **_Indicaties (synthese van de SKP)_** - Anemie bij chronische nierinsufficiëntie. - Autologe bloedtransfusie, anemie bij prematuren en in het kader van chemotherapie. **_Contra-indicaties_** - _Pure red cell anemia_ na behandeling met erythropoëtines. - Niet-gecontroleerde hypertensie. **_Ongewenste effecten_** - [Zie Folia februari 2008](http://www.bcfi.be/nl/articles/query?number=F35N02J). - Grieperige symptomen, gastro-intestinale stoornissen, hoofdpijn, hypertensie, rash, hyperkaliëmie. - Trombose, vooral met doses waarbij een hemoglobineconcentratie hoger dan 12 g/dl wordt nagestreefd. - Vermoeden van progressie van bepaalde maligniteiten bij gebruik in het kader van anemie ten gevolge van chemotherapie. - Zelden: _pure red cell anemia_ bij patiënten met chronische nierinsufficiëntie.";"_"
"0002444";"BCB";false;"Middelen bij trombocytopenie";"Eltrombopag en romiplostim zijn agonisten van de receptor voor trombopoëtine, een hormoon dat de bloedplaatjesproductie stimuleert. **_Indicaties (synthese van de SKP)_** - Idiopathische auto-immune trombocytopenische purpura, resistent tegen andere behandelingen. - Eltrombopag: ook trombocytopenie bij chronische hepatitis C, ernstige aplastische anemie die refractair is voor andere behandelingen. **_Contra-indicaties_** - Leverinsufficiëntie. **_Ongewenste effecten_** - Trombo-embolie bij overdreven verhoging van het trombocytenaantal. - Bloeding na stoppen van de toediening. - Overgevoeligheidsreacties. - Eltrombopag: ook levertoxiciteit. - Romiplostim: ook respiratoire infecties.";"_"
"0017509";"BCBA";true;"Eltrombopag";"_";"_"
"0017491";"BCBB";true;"Romiplostim";"_";"_"
"0019851";"BCC";false;"Middelen bij neutropenie en stamcelmobilisatie";"Het betreft _Granulocyte colony-stimulating factors (G-CSF)_ en plerixafor die een inhibitor is van de adhesiemoleculen van stamcellen. **_Plaatsbepaling_** - De G-CSF factoren worden gebruikt om neutropenie door cytostatische of immuunsuppressieve behandeling tegen te gaan, maar ook in sommige gevallen van idiopathische of congenitale neutropenie. De bedoeling is o.a. het risico en de duur van infecties te beperken door het aantal neutrofielen te verhogen. - Ze worden ook gebruikt voor de collecte van hematopoëtische stamcellen bij beenmergtransplantatie. - Plerixafor wordt, in associatie met G-CSF, gebruikt voor mobilisatie van stamcellen uit het perifere bloed bij autologe beenmergtransplantatie. **_Ongewenste effecten_** - Spier- en skeletpijn, dysurie, hoofdpijn, hyperuricemie. - Zelden: overgevoeligheid. **_Toediening en dosering_** - Lipegfilgrastim en pegfilgrastim zijn langwerkende vormen van filgrastim en vereisen slechts één injectie per chemokuur.";"_"
"0017517";"BCCA";true;"Filgrastim";"_";"_"
"0017525";"BCCB";true;"Lenograstim";"_";"_"
"0020438";"BCCC";true;"Lipegfilgrastim";"_";"_"
"0017533";"BCCD";true;"Pegfilgrastim";"_";"_"
"0017541";"BCCE";true;"Plerixafor";"_";"_"
"0026435";"BCD";false;"Hydroxycarbamide";"**_Plaatsbepaling_** - Hydroxycarbamide moet worden voorbehouden voor ernstige vormen van sikkelcelziekte. - Hydroxycarbamide is een antimetaboliet die ook gebruik wordt als antitumoraal middel ([zie 13.2.4. Andere antimetabolieten](http://www.bcfi.be/nl/contents/12906)). **_Indicaties (synthese van de SKP)_** - Preventie van pijnlijke vaso-occlusieve crisissen bij sikkelcelanemie. **_Contra-indicaties_** - Leverinsufficiëntie. - Ernstige nierinsufficiëntie. - Immunosuppressie. - Zwangerschap en borstvoeding. **_Ongewenste effecten_** - Hematologische stoornissen. - Gastro-intestinale stoornissen. - Ulcera en andere stoornissen van huid en slijmvliezen. - Risico van secundaire maligniteit kan niet uitgesloten worden. **_Zwangerschap en borstvoeding_** - Er wordt aanbevolen om inname van hydroxycarbamide 3 tot 6 maanden vóór een zwangerschap te stoppen. - Borstvoeding is een contra-indicatie.";"_"
"0026443";"BCDA";true;"Specialiteiten [Hydroxycarbamide]";"_";"_"
"0002485";"C";false;"Gastro-intestinaal stelsel";"- 3.1. Maag- en duodenumpathologie - 3.2. Spasmolytica - 3.3. Lever-, galblaas- en pancreaspathologie - 3.4. Anti-emetica - 3.5. Laxativa - 3.6. Antidiarreïca - 3.7. Inflammatoir darmlijden - 3.8. Anale pathologie";"_"
"0002493";"CA";false;"Maag- en duodenumpathologie";"In dit hoofdstuk worden besproken: - inhibitoren van de maagzuursecretie - antacida. **_Plaatsbepaling_** - [Zie Transparantiefiche ''Maagklachten”](http://www.bcfi.be/nl/tf/NL/TN_Maag.pdf) _en_ [Folia augustus 2011](http://www.bcfi.be/nl/articles/query?number=F38N08C). - Inhibitoren van de maagzuursecretie vormen de basis van de behandeling van ulcus pepticum en refluxoesofagitis; bij milde refluxsymptomen hebben ook antacida een plaats. - Ulcus pepticum en NSAID’s ([zie 9.1. Niet-steroïdale anti-inflammatoire middelen](http://www.bcfi.be/nl/contents/6767)) - NSAID’s liggen vaak aan de basis van maagulcera, vooral bij ouderen. - Combineren met een protonpompinhibitor (PPI), een dubbelgedoseerd H2-antihistaminicum of misoprostol laat toe de gastro-intestinale toxiciteit van de NSAID's te verminderen. Enkel voor misoprostol en PPI's is er beperkte evidentie van een beschermend effect op ulcuscomplicaties zoals perforatie of bloeding. Deze associaties worden aangeraden bij risicopatiënten: personen &gt; 65 jaar of met belangrijke comorbiditeit, met antecedenten van peptische ulcera of van ulcus met complicaties (bloeding, perforatie) en bij gelijktijdige inname van corticosteroïden, NSAID’s, SSRI’s, acetylsalicylzuur of een ander antiaggregans of een anticoagulans. - Ulcus pepticum en _H. pylori_-infectie - Bij vele patiënten met maagulcus of duodenumulcus wordt _Helicobacter pylori (H. pylori)_ aangetroffen. Bij deze patiënten tracht men _H. pylori_ uit te roeien om recidieven te voorkomen, en zo de noodzaak van een onderhoudsbehandeling met maagzuursecretie-inhibitoren te vermijden [[zie Folia april 2009](http://www.bcfi.be/nl/articles/query?number=F36N04B)]. - Eradicatie van _H. pylori_ kan gebeuren met de associatie van een protonpompinhibitor (PPI) met antibacteriële middelen. Na eradicatie van _H. pylori_ heeft onderhoudsbehandeling met inhibitoren van de maagzuursecretie om recidieven te voorkomen, geen zin. - Volgend behandelingsschema (tritherapie) wordt voorgesteld op basis van gegevens uit gerandomiseerd onderzoek, en wordt aanbevolen door BAPCOC. - Tweemaal per dag gedurende 7 dagen in tritherapie: - een PPI (esomeprazol 20 mg, lansoprazol 30 mg, omeprazol 20 mg, pantoprazol 40 mg of rabeprazol 20 mg) vóór de maaltijd - amoxicilline 1 g of (o.a. in geval van allergie aan amoxicilline) metronidazol 500 mg - clarithromycine 500 mg. - Bij niet aanslaan van de tritherapie kan een schema met langere behandelingsduur, hogere doses van de PPI, gebruik van andere antibacteriële middelen of van bismut aangewezen zijn, zo mogelijk gebaseerd op een antibiogram. Quadritherapie waarbij een PPI gecombineerd wordt met bismut, metronidazol en een tetracycline ([zie 3.1.3. Varia](http://www.bcfi.be/nl/contents/2642)), wordt soms toegepast [[zie Folia april 2015](http://www.bcfi.be/nl/articles/query?number=F42N04C)]. Wegens de snel stijgende resistentie hebben chinolonen geen plaats in de eradicatie van _H. pylori_. - Er zijn aanwijzingen dat sequentiële therapie bij een groter aantal patiënten eradicatie van _H. pylori_ geeft dan tritherapie. Bij een sequentiële therapie wordt gedurende 10 dagen tweemaal per dag een PPI gegeven, gecombineerd gedurende 5 dagen met tweemaal per dag 1 g amoxicilline, en daarna gedurende de volgende 5 dagen met tweemaal per dag 500 mg clarithromycine + 500 mg metronidazol. - Stoppen met roken verhoogt de slaagkans van eradicatie. - Het is wenselijk de eradicatie van _H. pylori_ 4 à 6 weken na de antibacteriële behandeling te controleren. - De duur van de behandeling met PPI's na de eradicatie van _H. pylori_, is bij maagulcus doorgaans niet langer dan 8 weken, bij duodenumulcus niet langer dan 4 weken. - Bij patiënten met verhoogd risico van ulcus die NSAID’s moeten krijgen, suggereren sommige studies dat voorafgaande eradicatie van _H. pylori_ het risico van ulceratie vermindert. - De meerwaarde van eradicatie van _H. pylori_ bij functionele (niet-ulcus) dyspepsie is beperkt. - Oesofageale reflux en refluxoesofagitis - De medicamenteuze aanpak van reflux verschilt naargelang de ernst van de klachten, en naargelang de letsels gevonden bij endoscopie. - Bij weinig uitgesproken refluxsymptomen volstaat dikwijls intermitterend gebruik van antacida. - Bij meer uitgesproken klachten kan men kiezen voor een _step-up_-methode (antacida; indien geen beterschap een H2-antihistaminicum; indien nog niet beter een PPI eerst in halve, dan in volle dosis), een _step-down_-methode (beginnen met een volle dosis PPI en daarna eventueel een H2-antihistaminicum) of een _step-in_-methode (intermitterend een H2-antihistaminicum of een PPI). De behandeling wordt na 4 à 8 weken gestopt. Bij recidief van klachten zoekt men naar de laagst mogelijke onderhoudsdosis. - Bij uitgesproken refluxklachten met veel last ondanks slechts lichte endoscopische letsels of normale endoscopie, geldt dezelfde aanpak. - Bij ernstige endoscopische letsels geeft men onmiddellijk gedurende 4 à 8 weken een PPI of een dubbelgedoseerd H2-antihistaminicum. Na de genezing van de oesofagitis heeft de behandeling van gastro-oesofageale reflux enkel symptoomcontrole als doel; continue behandeling met PPI's of H2-antihistaminica wordt waar mogelijk vermeden, en in elk geval zal gezocht worden naar de minimaal effectieve dosis. - Er zijn waarschijnlijk geen verschillen in doeltreffendheid tussen de H2-antihistaminica onderling of tussen de PPI's onderling. - De gastroprokinetica metoclopramide en domperidon hebben bij reflux slechts een twijfelachtig effect. - Reflux is een frequent voorkomende klacht bij jonge kinderen. Een medicamenteuze aanpak (met een H2-antihistaminicum of een PPI) heeft alleen een plaats bij kinderen met refluxziekte gepaard gaande met verontrustende symptomen (bv. abnormale gewichtsevolutie) of complicaties (bv. oesofagitis). Na 3 à 6 maanden dient geprobeerd te worden om de behandeling geleidelijk af te bouwen. Er bestaat geen indicatie voor gebruik van een PPI bij zuigelingen die lastig zijn of regurgiteren [[zie Folia augustus 2011](http://www.bcfi.be/nl/articles/query?number=F38N08B)]. - Refluxoesofagitis is geen indicatie voor eradicatie van _H. pylori_.";"_"
"0002501";"CAA";false;"Maagzuursecretie-inhibitoren";"_";"_"
"0002519";"CAAA";false;"H<SUB>2</SUB>-antihistaminica";"**_Plaatsbepaling_** - [Zie 3.1. Maag- en duodenumpathologie](http://www.bcfi.be/nl/contents/2493) **_Indicaties (synthese van de SKP)_** - Gastroduodenaal ulcus. H2-antihistaminica zijn hierbij minder werkzaam dan protonpompinhibitoren. - Symptomatische behandeling van refluxsymptomen. H2-antihistaminica hebben bij ernstige oesofagitis een beperkte doeltreffendheid. - Preventie van stressulcera na bepaalde heelkundige ingrepen en bij sommige ernstige aandoeningen. - Preventie van ulcera bij toediening van NSAID's bij risicopatiënten; H2-antihistaminica zijn hierbij minder werkzaam dan protonpompinhibitoren. - Dyspepsie, gastritis en refluxsymptomen (pyrosis) zonder bekende etiologie. **_Ongewenste effecten_** - Diarree en andere gastro-intestinale stoornissen, duizeligheid, hoofdpijn, rash, moeheid, verwardheid (vooral bij ouderen), spierpijn, artralgie. - Rebound reflux na plots stoppen van de behandeling (van kortere duur dan bij de PPI’s). - Zelden: interstitiële nefritis, gestoorde levertesten en hepatitis. - Cimetidine: ook impotentie, reversibele gynaecomastie al dan niet met hyperprolactinemie. - Ranitidine: bij intraveneuze toediening ook bradycardie en hypotensie. **_Interacties_** - Gewijzigde resorptie van andere geneesmiddelen door verandering van de maag-pH (bv. verminderde resorptie van itraconazol, van ijzer, van bepaalde protease-inhibitoren en proteïnekinase-inhibitoren) Een interval van enkele uren tussen de innames is aangewezen. - Cimetidine: verhoogd effect van vitamine K-antagonisten. - Cimetidine is een inhibitor van CYP1A2, CYP2C19, CYP2D6 en CYP3A4 ([zie % in Inl.6.3. Interacties van geneesmiddelen](http://www.bcfi.be/nl/contents/9990243#cyp)). - Overige H2-antihistaminica: geen klinisch relevante interacties ter hoogte van de CYP-iso-enzymen of met de vitamine K-antagonisten. **_Bijzondere voorzorgen_** - Bij chronisch gebruik van maagzuursecretie-inhibitoren moet men steeds alert zijn op alarmsymptomen zoals dysfagie, vermagering of bloedingen, die kunnen wijzen op maligniteit. - Bij nierinsufficiëntie dient de dosis van de H2-antihistaminica gereduceerd te worden. - Het natriumgehalte van bruispreparaten (tabletten, poeders, granulaten) kan problemen geven bij patiënten op streng zoutarm dieet.";"_"
"0002527";"CAAAA";true;"Cimetidine";"De specialiteit Cimetidine® is uit de markt genomen in februari 2017.";"_"
"0002535";"CAAAB";true;"Ranitidine";"_";"_per os_: gastroduodenaal ulcus - 300 mg p.d. in 2 doses (of in 1 dosis 's avonds bij duodenaal ulcus) gedurende 4 à 8 weken refluxoesofagitis - 300 mg 's avonds of in 2 doses gedurende 8 à 12 weken refluxsymptomen - 150 à 300 mg p.d. in 2 doses preventie van ulcera door NSAID’s bij risicopatiënten - 300 à 600 mg p.d. in 2 doses"
"0006684";"HCAI";true;"Pentazocine";"De specialiteit Fortal® is uit de markt genomen in augustus 2017.";"_"
"0006692";"HCAJ";true;"Pethidine";"_";"_"
"0006700";"HCAK";true;"Piritramide";"_";"_"
"0020750";"HCAL";true;"Tapentadol";"_";"_"
"0014290";"OBCA";true;"Specialiteiten [Matig werkzame preparaten]";"_";"_"
"0014308";"OBD";false;"Zwak werkzame preparaten";"_";"_"
"0014316";"OBDA";true;"Specialiteiten [Zwak werkzame preparaten]";"_";"_"
"0002543";"CAAB";false;"Protonpompinhibitoren (PPI's)";"**_Plaatsbepaling_** - [Zie 3.1. Maag- en duodenumpathologie](http://www.bcfi.be/nl/contents/2493) **_Indicaties (synthese van de SKP)_** - Gastroduodenaal ulcus. - Preventie van ulcera bij risicopatiënten die NSAID’s gebruiken ([zie 9.1. Niet-steroïdale anti-inflammatoire middelen](http://www.bcfi.be/nl/contents/6767)). - Refluxsymptomen en refluxoesofagitis. Dyspepsie die niet op reflux berust, is geen indicatie. - Syndroom van Zollinger-Ellison. **_Ongewenste effecten_** - Nausea, diarree, hoofdpijn, rash. - Rebound reflux na plots stoppen van de behandeling. - Zelden: gastro-intestinale infecties (bv. _Clostridium difficile_) en reizigersdiarree, pneumonie. Bij langdurig gebruik osteoporose met verhoogd risico van fracturen, interstitiële nefritis, vitamine B12-deficiëntie en hypomagnesiëmie [[zie Folia juli 2013](http://www.bcfi.be/nl/articles/query?number=F40N07E) _en_ [Folia november 2016](http://www.bcfi.be/nl/articles/query?number=F43N11D)]. **_Interacties_** - Gewijzigde resorptie van andere geneesmiddelen door verandering van de maag-pH (bv. verminderde resorptie van itraconazol, van ijzer, van bepaalde protease-inhibitoren en proteïnekinase-inhibitoren). Een interval van enkele uren tussen de innames is aangewezen. - De protonpompinhibitoren (PPI's) zijn substraten van CYP2C19. Omeprazol, esomeprazol (de S-isomeer van omeprazol) en lansoprazol zijn daarenboven inhibitoren van CYP2C19 ([zie % in Inl.6.3. Interacties van geneesmiddelen](http://www.bcfi.be/nl/contents/9990243#cyp)). Door inhibitie van CYP2C19 kunnen deze PPI's de omzetting van clopidogrel tot zijn actieve metaboliet remmen, met daling van het antiaggregerend effect maar waarschijnlijk zonder klinische relevantie [[zie 2.1.1.2. Thiënopyridines](http://www.bcfi.be/nl/contents/1867) _en_ [Folia juni 2013](http://www.bcfi.be/nl/articles/query?number=F40N06B)]. Voorzichtigheidshalve wordt er tussen de inname van de PPI en van clopidogrel een interval van een 12-tal uur aangeraden. **_Bijzondere voorzorgen_** - Bij chronisch gebruik van maagzuursecretie-inhibitoren moet men steeds alert zijn op alarmsymptomen zoals dysfagie, vermagering of bloedingen, die kunnen wijzen op maligniteit.";"_"
"0002550";"CAABA";true;"Esomeprazol";"_";"_per os :_ refluxoesofagitis - - behandeling: 40 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken - - preventie van recidieven: 20 mg p.d. in 1 dosis refluxsymptomen - 20 mg p.d. in 1 dosis gedurende 4 weken en wanneer nodig eradicatie _H. pylori_ (in associatie met antibacteriële middelen) - 40 mg p.d. in 2 doses gedurende minstens 1 week ulcera door NSAID’s - - behandeling: 20 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken - - preventie bij risicopatiënten: 20 mg p.d. in 1 dosis"
"0002568";"CAABB";true;"Lansoprazol";"_";"maagulcus - 30 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken duodenaal ulcus - 30 mg p.d. in 1 dosis gedurende 2 (eventueel 4) weken refluxoesofagitis - - behandeling: 30 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken - - preventie van recidieven: 15 (eventueel 30) mg p.d. in 1 dosis refluxsymptomen - 15 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken eradicatie _H. pylori_ (in associatie met antibacteriële middelen) - 60 mg p.d. in 2 doses gedurende minstens 1 week preventie van ulcera door NSAID's bij risicopatiënten - 15 à 30 mg p.d. in 1 dosis"
"0002576";"CAABC";true;"Omeprazol";"_";"maagulcus - 20 (eventueel 40) mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken duodenaal ulcus - 20 (eventueel 40) mg p.d. in 1 dosis gedurende 2 (eventueel 4) weken refluxoesofagitis - - behandeling: 20 (eventueel 40) mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken - - preventie van recidieven: 10 à 20 mg p.d. in 1 dosis refluxsymptomen - 10 à 20 mg p.d. in 1 dosis gedurende 2 à 4 weken eradicatie _H. pylori_ (in associatie met antibacteriële middelen) - 40 mg p.d. in 2 doses gedurende minstens 1 week ulcera door NSAID’s - - behandeling: 20 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken - - preventie bij risicopatiënten: 20 mg p.d. in 1 dosis"
"0002584";"CAABD";true;"Pantoprazol";"_";"_per os_: maagulcus - 40 (eventueel 80) mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken duodenaal ulcus - 40 (eventueel 80) mg p.d. in 1 dosis gedurende 2 (eventueel 4) weken refluxoesofagitis - - behandeling: 40 (eventueel 80) mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken - - preventie van recidieven: 20 (eventueel 40) mg p.d. in 1 dosis refluxsymptomen - 20 mg p.d. in 1 dosis gedurende 2 à 4 (eventueel 8) weken eradicatie _H. pylori_ (in associatie met antibacteriële middelen) - 80 mg p.d. in 2 doses gedurende minstens 1 week preventie van ulcera door NSAID’s bij risicopatiënten - 20 mg p.d. in 1 dosis"
"0002592";"CAABE";true;"Rabeprazol";"_";"maagulcus - 20 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken duodenaal ulcus - 20 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken refluxoesofagitis - - behandeling: 20 mg p.d. in 1 dosis gedurende 4 (eventueel 8) weken - - preventie van recidieven: 10 à 20 mg p.d. in 1 dosis refluxsymptomen - 10 mg p.d. in 1 dosis gedurende 4 weken eradicatie _H. pylori_ (in associatie met antibacteriële middelen) - 40 mg p.d. in 2 doses gedurende minstens 1 week"
"0002600";"CAAC";false;"Misoprostol";"Misoprostol, een synthetisch analoog van prostaglandine E1, inhibeert de maagzuursecretie en beschermt de maag-darmmucosa. **_Plaatsbepaling_** - [Zie 3.1. Maag- en duodenumpathologie](http://www.bcfi.be/nl/contents/2493) - Wegens zijn uterusstimulerend effect wordt misoprostol ook gebruikt bij postpartumbloeding, ter uitlokking van abortus en ter inductie van de arbeid. Deze indicaties worden niet vermeld in de SKP van Cytotec®. Een specialiteit op basis van misoprostol voor vaginaal gebruik is vergund voor inductie van de arbeid ([zie 6.4.1. Oxytocica](http://www.bcfi.be/nl/contents/5769)). **_Indicaties (synthese van de SKP)_** - Preventie van ulcera bij toediening van NSAID’s bij risicopatiënten ([zie 9.1. Niet-steroïdale anti-inflammatoire middelen](http://www.bcfi.be/nl/contents/6767)). **_Contra-indicaties_** - **Zwangerschap**. **_Ongewenste effecten_** - Diarree en andere gastro-intestinale stoornissen, rash, hoofdpijn, duizeligheid. **_Zwangerschap en borstvoeding_** - **Misoprostol is gecontra-indiceerd gedurende de ganse duur van de zwangerschap, gezien het risico van abortus en het vermoeden van teratogeniteit.** - Diarree bij de zuigeling gevoed door moeder behandeld met misoprostol. **_Interacties_** - Gewijzigde resorptie van andere geneesmiddelen door verandering van de maag-pH (bv. verminderde resorptie van itraconazol, van ijzer, van bepaalde protease-inhibitoren en proteïnekinase-inhibitoren). Een interval van enkele uren tussen de innames is aangewezen. **_Bijzondere voorzorgen_** - Bij chronisch gebruik van maagzuursecretie-inhibitoren moet men steeds alert zijn op alarmsymptomen zoals dysfagie, vermagering of bloedingen, die kunnen wijzen op maligniteit.";"_"
"0002618";"CAACA";true;"Specialiteiten [Misoprostol]";"_";"_"
