"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"12633-216";"0007294";"IEBC";"Ibandronate Apotex";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12641-612";"0007294";"IEBC";"Ibandronate EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3491-1628";"0007294";"IEBC";"Bondronat";"01628";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3525-1628";"0007294";"IEBC";"Bonviva";"01628";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29983-2196";"0013201";"MFA";"Zevalin";"02196";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19471-1610";"0006866";"IAABB";"Nurofen";"01610";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12765-1818";"0006866";"IAABB";"Ibuprofen Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16212-2386";"0006866";"IAABB";"Malafene";"02386";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3822-2386";"0006866";"IAABB";"Brufen";"02386";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21196-943";"0006866";"IAABB";"Perdophen";"00943";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12757-1636";"0006866";"IAABB";"Ibuprofen Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21063-1412";"0017335";"AOA";"Pedea";"01412";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12708-1487";"0006866";"IAABB";"Ibumed";"01487";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25031-2022";"0006866";"IAABB";"Spidifen";"02022";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12443-570";"0004283";"EAAEAA";"Humuline 30/70";"00570";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"3889-1818";"0006866";"IAABB";"Buprophar";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"33266-117";"0001396";"AIAD";"Adrenaline (Tartrate) Aguettant";"00117";false;"_";"_";"S";"S";0;0;false;false;false;true;false
"6650-1396";"0014316";"OBDA";"Cremicort-H";"01396";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"7021-943";"0014340";"OBEB";"Daktacort";"00943";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"26450-1446";"0014332";"OBEA";"Terra-Cortril";"01446";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"12492-406";"0012914";"MBDA";"Hydrea";"00406";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"4218-1180";"0002766";"CCBA";"Cantabiline";"01180";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12575-1982";"0008235";"JCEA";"Hyperiplant";"01982";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32177-422";"0025247";"LCBDA";"Otezla";"00422";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"13136-1917";"0014704";"OJA";"Inotyol";"01917";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13029-1586";"0016360";"SDA";"Indocyanine Green";"01586";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3459-1602";"0014704";"OJA";"Bithiol";"01602";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12724-612";"0006866";"IAABB";"Ibuprofen EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29892-1446";"0012971";"MCAD";"Zavedos";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12385-281";"0012583";"MAAA";"Holoxan";"00281";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15933-810";"0013292";"NAAAA";"Losferron";"00810";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"10249-1891";"0013300";"NAAAB";"Ferricure";"01891";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"11809-1347";"0013227";"MGA";"Glivec";"01347";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"10678-1701";"0000430";"ADAAB";"Fludex";"01701";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"12971-612";"0000430";"ADAAB";"Indapamide EG";"00612";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"8003-1743";"0006916";"IAACA";"Dolcidium";"01743";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25106-1305";"0007054";"IABAA";"Sportflex";"01305";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13011-273";"0015164";"PBBA";"Indocollyre";"00273";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26286-612";"0017111";"MADD";"Temozolomide EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"17723-885";"0003806";"DAFA";"Montelukast Sandoz";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"18119-67";"0012104";"LCAEA";"Mycophenolate Mofetil Accord Healthcare";"00067";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21162-943";"0006866";"IAABB";"Perdofemina";"00943";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"12773-1396";"0007054";"IABAA";"Ibutop";"01396";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26757-1263";"0019471";"KAACA";"Tienam";"01263";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"802-1115";"0018051";"OKA";"Aldara";"01115";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"9902-1602";"0007054";"IABAA";"Extrapan";"01602";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13573-1289";"0013052";"MDAA";"Irinotecan Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13482-1636";"0001024";"AGBC";"Irbesartan Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13490-1818";"0001024";"AGBC";"Irbesartan Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19380-1354";"0004309";"EAAEBA";"NovoMix 70";"01354";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"13524-2485";"0013052";"MDAA";"Irinotecan AB";"02485";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13540-844";"0013052";"MDAA";"Irinotecan Hospira";"00844";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"455-166";"0015164";"PBBA";"Aculare";"00166";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13516-1818";"0013052";"MDAA";"Irinosin";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13532-612";"0013052";"MDAA";"Irinotecan EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13565-711";"0013052";"MDAA";"Irinokabi";"00711";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"18838-547";"0010330";"KAHAA";"Nicotibine";"00547";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13722-844";"0001313";"AHDBA";"Isuprel";"00844";false;"_";"_";"S";"S";0;0;false;false;false;true;false
"4648-1800";"0000281";"ABACA";"Cedocard";"01800";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"11619-711";"0012864";"MBCF";"Gemcitabine Fresenius Kabi";"00711";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19364-1354";"0004309";"EAAEBA";"NovoMix 30";"01354";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"19372-1354";"0004309";"EAAEBA";"NovoMix 50";"01354";false;"_";"_";"H";"H";0;0;false;false;false;true;false
"4119-1446";"0013052";"MDAA";"Campto";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29504-836";"0016246";"SAACA";"Xenetix 250";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29512-836";"0016246";"SAACA";"Xenetix 300";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29520-836";"0016246";"SAACA";"Xenetix 350";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29041-752";"0016253";"SAACB";"Visipaque 270";"00752";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29058-752";"0016253";"SAACB";"Visipaque 320";"00752";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13474-1289";"0001024";"AGBC";"Irbesartan Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13649-2097";"0012237";"LCBKA";"Isoprinosine";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25098-935";"0010470";"KBCB";"Sporanox";"00935";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13789-1818";"0010470";"KBCB";"Itraconazole Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"83-1578";"0006601";"HCAB";"Abstral";"01578";false;"_";"_";"N";"N";0;0;false;false;true;true;false
"6320-1115";"0003004";"CEAA";"Colofiber";"01115";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25098-1529";"0010470";"KBCB";"Sporanox";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19919-752";"0016246";"SAACA";"Omnipaque 240";"00752";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19927-752";"0016246";"SAACA";"Omnipaque 300";"00752";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19935-752";"0016246";"SAACA";"Omnipaque 350";"00752";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13342-398";"0016246";"SAACA";"Iomeron 400";"00398";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13300-1602";"0013847";"OAAM";"Iodex";"01602";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32995-1818";"0010512";"KBCE";"Voriconazole Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23572-1628";"0014530";"OEEA";"Roaccutane";"01628";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15610-1651";"0000752";"AFAE";"Lomir";"01651";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13748-216";"0010470";"KBCB";"Itraconazol Apotex";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13755-612";"0010470";"KBCB";"Itraconazole EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13763-1289";"0010470";"KBCB";"Itraconazole Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13771-1636";"0010470";"KBCB";"Itraconazol Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13318-398";"0016246";"SAACA";"Iomeron 250";"00398";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13631-1537";"0014530";"OEEA";"Isocural";"01537";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"20115-836";"0016246";"SAACA";"Optiject 350";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"18598-2162";"0015099";"PABF";"Neobacitracine";"02162";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"20131-836";"0016246";"SAACA";"Optiray 350";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"27904-299";"0016246";"SAACA";"Ultravist 300";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"27912-299";"0016246";"SAACA";"Ultravist 370";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26039-828";"0018432";"LACDA";"Tedivax Pro Adulto";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26112-836";"0016212";"SAABA";"Telebrix 35";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26104-836";"0016212";"SAABA";"Telebrix 30 Meglumine";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"24786-497";"0000497";"ADBA";"Soldactone";"00497";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"27896-299";"0016246";"SAACA";"Ultravist 240";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14225-1321";"0003095";"CECBA";"Klean-Prep";"01321";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6338-927";"0003095";"CECBA";"Colofort";"00927";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"9084-539";"0003095";"CECBA";"Endofalk";"00539";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"5181-1164";"0016832";"NADA";"Chloropotassuril";"01164";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25247-1784";"0016832";"NADA";"Steropotassium";"01784";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6726-1818";"0003111";"CECBC";"Curapeg";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14746-1883";"0003111";"CECBC";"Laxido";"01883";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"27581-1701";"0020628";"AADI";"Triplixam";"01701";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"3608-265";"0013847";"OAAM";"Braunoderm";"00265";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"20107-836";"0016246";"SAACA";"Optiject 300";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"20123-836";"0016246";"SAACA";"Optiray 300";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26120-836";"0016212";"SAABA";"Telebrix Gastro";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26138-836";"0016212";"SAABA";"Telebrix Hystero";"00836";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19018-943";"0014076";"OACC";"Nizoral";"00943";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8508-2386";"0003061";"CECAB";"Duphalac";"02386";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14365-612";"0003061";"CECAB";"Lactulose EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"16170-1636";"0003111";"CECBC";"Macrogol + Electrolytes Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23663-2097";"0006874";"IAABC";"Rofenid";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"9985-885";"0007054";"IABAA";"Fastum";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"27318-232";"0000653";"AEG";"Trandate";"00232";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"12914-83";"0003053";"CECAA";"Importal";"00083";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14399-1636";"0003061";"CECAB";"Lactulose Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14464-1636";"0020198";"KDCAAG";"Lamivudine / Zidovudine Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"3871-1404";"0003780";"DAEA";"Bufomix";"01404";false;"_";"_";"c";"c";0;0;false;false;false;true;false
"17590-1115";"0003111";"CECBC";"Molaxole";"01115";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26807-1636";"0015479";"PEFA";"Timoglaucon";"01636";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"17848-216";"0003111";"CECBC";"Movolax";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"17822-1529";"0003111";"CECBC";"Movicol";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22871-1610";"0007070";"IABBA";"Reflexspray";"01610";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"927-1602";"0014407";"ODA";"Algis-Spray";"01602";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"1164-968";"0014704";"OJA";"Alopate";"00968";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14142-1446";"0019109";"RAAB";"Ketalar";"01446";false;"_";"_";"_";"_";0;0;false;true;false;true;false
"17822-885";"0003111";"CECBC";"Movicol";"00885";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14415-828";"0008755";"JGABA";"Lambipol";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32631-2451";"0025346";"OAAH";"Hydral";"02451";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14415-1529";"0008755";"JGABA";"Lambipol";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14423-828";"0008755";"JGABA";"Lamictal";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14480-1636";"0008755";"JGABA";"Lamotrigine Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14472-612";"0008755";"JGABA";"Lamotrigine EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14423-1529";"0008755";"JGABA";"Lamictal";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"505-1263";"0020669";"AME";"Adempas";"01263";true;"_";"_";"_";"_";0;0;true;false;false;true;false
"24877-927";"0017699";"EEEA";"Somatuline";"00927";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14522-216";"0002568";"CAABB";"Lansoprazol Apotex";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14530-1636";"0002568";"CAABB";"Lansoprazol Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14548-612";"0002568";"CAABB";"Lansoprazole EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14555-1289";"0002568";"CAABB";"Lansoprazole Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14571-1818";"0002568";"CAABB";"Lansoprazole-Ratio";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14563-1818";"0002568";"CAABB";"Lansoprazole Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7005-2097";"0002568";"CAABB";"Dakar";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"27649-828";"0018598";"JGBHA";"Trobalt";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"9282-1966";"0010934";"KDCAAD";"Epivir";"01966";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29918-828";"0016717";"KDDC";"Zeffix";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29405-1446";"0015479";"PEFA";"Xalacom";"01446";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"14639-1636";"0015479";"PEFA";"Lataglaucon";"01636";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"14704-1289";"0015479";"PEFA";"LatansocMylan";"01289";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"14902-1818";"0000778";"AFAG";"Lercanidipine Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26815-1115";"0015479";"PEFA";"Timolatears";"01115";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"29850-2022";"0000778";"AFAG";"Zanidip";"02022";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29850-1529";"0000778";"AFAG";"Zanidip";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14860-1636";"0000778";"AFAG";"Lercanidipin Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14886-612";"0000778";"AFAG";"Lercanidipine EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"10058-1347";"0017020";"MIBC";"Femara";"01347";false;"_";"_";"AO";"AO";0;0;false;false;false;true;false
"16352-1263";"0009217";"JIAAE";"Maxalt";"01263";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26591-422";"0013243";"MHA";"Thalidomide Celgene";"00422";false;"_";"_";"_";"_";0;0;true;false;false;true;false
"29173-1347";"0005611";"FCABA";"Vivelle Dot";"01347";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"828-2097";"0016485";"TCA";"Aldurazyme";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29413-1446";"0018515";"PEDB";"Xalatan";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14654-612";"0018515";"PEDB";"Latanoprost EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14670-1636";"0018515";"PEDB";"Latanoprost Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14696-1115";"0018515";"PEDB";"Latanotears";"01115";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14662-1446";"0018515";"PEDB";"Latanoprost Pfizer";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"30452-2386";"0005595";"FCAAA";"Zumenon";"02386";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15057-612";"0008771";"JGACA";"Levetiracetam EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19976-1263";"0013243";"MHA";"Oncotice";"01263";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"14126-1909";"0008771";"JGACA";"Keppra";"01909";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15073-1636";"0008771";"JGACA";"Levetiracetam Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"26773-2097";"0000869";"AFCA";"Tildiem";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7237-240";"0005884";"ECGD";"Depo-Eligard";"00240";false;"_";"_";"Hman";"Hman";0;0;false;false;false;true;false
"3111-166";"0015370";"PEBC";"Betagan";"00166";false;"_";"_";"B";"B";0;0;false;false;false;true;false
"23648-711";"0019166";"RACD";"Rocuronium Bromide Fresenius Kabi";"00711";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"174-1636";"0004002";"DBBAA";"Acetylcystein Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23762-828";"0011445";"LAAJA";"Rotarix";"00828";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"18051-1453";"0010397";"KAHDA";"Myambutol";"01453";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29710-299";"0005363";"FBAAD";"Yasminelle";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25122-1347";"0008698";"JFFA";"Stalevo";"01347";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15222-1289";"0010181";"KAEB";"Levofloxacine Mylan";"01289";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15230-1636";"0010181";"KAEB";"Levofloxacine Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25965-1529";"0010181";"KAEB";"Tavanic";"01529";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"25965-2097";"0010181";"KAEB";"Tavanic";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15248-1818";"0010181";"KAEB";"Levofloxacine Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15214-711";"0010181";"KAEB";"Levofloxacine Fresenius Kabi";"00711";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15206-612";"0010181";"KAEB";"Levofloxacine EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8938-1446";"0013581";"NBHA";"Elvorine";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8730-1636";"0011007";"KDCACA";"Efavirenz Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"4846-216";"0006981";"IAAEA";"Celecoxib Apotex";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"4853-612";"0006981";"IAAEA";"Celecoxib EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15503-943";"0015933";"QCBCC";"Livostin";"00943";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"22160-1628";"0008524";"JFAA";"Prolopa 250";"01628";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"17327-1446";"0005355";"FBAAC";"Minulet";"01446";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"5108-59";"0016147";"RBC";"Chirocaine";"00059";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"15289-1834";"0003970";"DBAF";"Levotuss";"01834";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"8458-59";"0008532";"JFAB";"Duodopa";"00059";false;"_";"_";"_";"_";0;0;true;false;false;true;false
"29678-1909";"0016790";"LDAAF";"Xyzall";"01909";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32466-1818";"0020289";"JGBCA";"Pregabaline Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32482-2295";"0014753";"OMBA";"Lomatuell Pro";"02295";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29728-299";"0005363";"FBAAD";"Yaz";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32441-1222";"0005363";"FBAAD";"Ysha Continu";"01222";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"21709-1222";"0005546";"FBDA";"Postinor";"01222";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"17376-299";"0020834";"FBCBA";"Mirena";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29637-257";"0001131";"AHBAA";"Xylocard";"00257";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"20321-323";"0015677";"QACA";"Otipax";"00323";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"2154-1800";"0006460";"BAAAB";"Asamed";"01800";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"29827-2097";"0013201";"MFA";"Zaltrap";"02097";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"11924-1693";"0005843";"FEBA";"Gonal-F";"01693";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23531-1636";"0018689";"JKAC";"Rivastigmin Sandoz";"01636";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"9738-1180";"0004564";"EBAA";"Euthyrox";"01180";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"27565-935";"0005389";"FBAAF";"Trinovum";"00935";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"11668-968";"0013326";"NAAAD";"Gestiferrol";"00968";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"10876-612";"0004846";"MICD";"Flutamide EG";"00612";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19430-2097";"0020008";"JBAAA";"Nozinan";"02097";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"23556-1818";"0018689";"JKAC";"Rivastigmine Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"17046-299";"0019513";"FBBAB";"Microlut";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"19182-869";"0005546";"FBDA";"Norlevo";"00869";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"7666-216";"0007054";"IABAA";"Diclotopic";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32490-67";"0019141";"RACB";"Cisatracurium Accord Healthcare";"00067";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"6528-1818";"0000141";"AADD";"Coperindo";"01818";false;"_";"_";"D";"D";0;0;false;false;false;true;false
"13912-1628";"0013201";"MFA";"Kadcyla";"01628";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"22517-299";"0005397";"FBAAG";"Qlaira";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"30650-216";"0006866";"IAABB";"Ibucaps";"00216";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"13151-802";"0020735";"FFDA";"Inprosub";"00802";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"27573-299";"0005389";"FBAAF";"Triodene";"00299";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"1859-943";"0003475";"CHAA";"Anusol";"00943";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"34-2055";"0017939";"GBDA";"A. Vogel Prostaforce";"02055";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"4861-1818";"0006981";"IAAEA";"Celecoxib Teva";"01818";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"31799-1347";"0021436";"LCBNA";"Cosentyx";"01347";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"22459-1263";"0005843";"FEBA";"Puregon";"01263";false;"_";"_";"_";"_";0;0;false;false;false;true;false
"32524-2022";"0025288";"JFDB";"Xadago";"02022";true;"_";"_";"_";"_";0;0;false;false;false;true;false
"414-1990";"0007344";"IEBG";"Actonel Combi D";"01990";false;"_";"_";"_";"_";0;0;false;false;false;true;false
